Frequency (eV),Frequency (meV),vDOS 300K
0.50336,503.36,0.434208
0.50358,503.58,0.330792
0.5038,503.8,0.423756
0.50401,504.01,0.375732
0.50423,504.23,0.344472
0.50445,504.45,0.366096
0.50466,504.66,0.344268
0.50488,504.88,0.41016
0.5051,505.1,0.314028
0.50532,505.32,0.399096
0.50553,505.53,0.368172
0.50575,505.75,0.359772
0.50597,505.97,0.350472
0.50619,506.19,0.342384
0.5064,506.4,0.306336
0.50662,506.62,0.30468
0.50684,506.84,0.330684
0.50706,507.06,0.25506
0.50727,507.27,0.293676
0.50749,507.49,0.220932
0.50771,507.71,0.2436
0.50792,507.92,0.233052
0.50814,508.14,0.228732
0.50836,508.36,0.28824
0.50858,508.58,0.204264
0.50879,508.79,0.214548
0.50901,509.01,0.205476
0.50923,509.23,0.216312
0.50945,509.45,0.221988
0.50966,509.66,0.241704
0.50988,509.88,0.273192
0.5101,510.1,0.284436
0.51032,510.32,0.240516
0.51053,510.53,0.205884
0.51075,510.75,0.213816
0.51097,510.97,0.237468
0.51119,511.19,0.193296
0.5114,511.4,0.210684
0.51162,511.62,0.217068
0.51184,511.84,0.233892
0.51205,512.05,0.272196
0.51227,512.27,0.230172
0.51249,512.49,0.233052
0.51271,512.71,0.230868
0.51292,512.92,0.19512
0.51314,513.14,0.18294
0.51336,513.36,0.151728
0.51358,513.58,0.202104
0.51379,513.79,0.1803
0.51401,514.01,0.189096
0.51423,514.23,0.188064
0.51445,514.45,0.201324
0.51466,514.66,0.168288
0.51488,514.88,0.155856
0.5151,515.1,0.171012
0.51531,515.31,0.127464
0.51553,515.53,0.185196
0.51575,515.75,0.15972
0.51597,515.97,0.161952
0.51618,516.18,0.167208
0.5164,516.4,0.140436
0.51662,516.62,0.127596
0.51684,516.84,0.13146
0.51705,517.05,0.1167696
0.51727,517.27,0.155124
0.51749,517.49,0.1167396
0.51771,517.71,0.142536
0.51792,517.92,0.120756
0.51814,518.14,0.12978
0.51836,518.36,0.09699
0.51857,518.57,0.1150404
0.51879,518.79,0.1055508
0.51901,519.01,0.1132956
0.51923,519.23,0.117084
0.51944,519.44,0.122112
0.51966,519.66,0.125436
0.51988,519.88,0.1007172
0.5201,520.1,0.124908
0.52031,520.31,0.1010784
0.52053,520.53,0.1093404
0.52075,520.75,0.0889272
0.52097,520.97,0.0888336
0.52118,521.18,0.1112616
0.5214,521.4,0.09594
0.52162,521.62,0.113022
0.52183,521.83,0.0898032
0.52205,522.05,0.1037568
0.52227,522.27,0.0831396
0.52249,522.49,0.0750876
0.5227,522.7,0.0832296
0.52292,522.92,0.0760092
0.52314,523.14,0.0780096
0.52336,523.36,0.0781644
0.52357,523.57,0.0877428
0.52379,523.79,0.0843864
0.52401,524.01,0.0744324
0.52423,524.23,0.0604308
0.52444,524.44,0.0816144
0.52466,524.66,0.0784632
0.52488,524.88,0.0799896
0.52509,525.09,0.0808164
0.52531,525.31,0.081354
0.52553,525.53,0.0889728
0.52575,525.75,0.065052
0.52596,525.96,0.0690324
0.52618,526.18,0.0762624
0.5264,526.4,0.06498
0.52662,526.62,0.0687588
0.52683,526.83,0.0589332
0.52705,527.05,0.066954
0.52727,527.27,0.044622
0.52749,527.49,0.0573276
0.5277,527.7,0.0587388
0.52792,527.92,0.0495936
0.52814,528.14,0.0507648
0.52835,528.35,0.0514128
0.52857,528.57,0.0633012
0.52879,528.79,0.0590652
0.52901,529.01,0.048258
0.52922,529.22,0.0463848
0.52944,529.44,0.0449856
0.52966,529.66,0.0450936
0.52988,529.88,0.0539856
0.53009,530.09,0.0397512
0.53031,530.31,0.0534876
0.53053,530.53,0.0434148
0.53075,530.75,0.0437064
0.53096,530.96,0.0326616
0.53118,531.18,0.0479748
0.5314,531.4,0.0399828
0.53162,531.62,0.0376596
0.53183,531.83,0.0295728
0.53205,532.05,0.0416424
0.53227,532.27,0.0441648
0.53248,532.48,0.0348588
0.5327,532.7,0.0471912
0.53292,532.92,0.0521076
0.53314,533.14,0.0410088
0.53335,533.35,0.0377712
0.53357,533.57,0.0288912
0.53379,533.79,0.0390948
0.53401,534.01,0.0297
0.53422,534.22,0.0282504
0.53444,534.44,0.0324576
0.53466,534.66,0.033666
0.53488,534.88,0.0303264
0.53509,535.09,0.0230196
0.53531,535.31,0.032166
0.53553,535.53,0.0297192
0.53574,535.74,0.0289116
0.53596,535.96,0.0349452
0.53618,536.18,0.0309336
0.5364,536.4,0.0434184
0.53661,536.61,0.0360252
0.53683,536.83,0.0375744
0.53705,537.05,0.032202
0.53727,537.27,0.029076
0.53748,537.48,0.028458
0.5377,537.7,0.0267072
0.53792,537.92,0.032454
0.53814,538.14,0.0358968
0.53835,538.35,0.0239556
0.53857,538.57,0.0285696
0.53879,538.79,0.025134
0.539,539,0.0266652
0.53922,539.22,0.0221568
0.53944,539.44,0.0291012
0.53966,539.66,0.0266652
0.53987,539.87,0.0331428
0.54009,540.09,0.0254292
0.54031,540.31,0.02586
0.54053,540.53,0.0220836
0.54074,540.74,0.0223536
0.54096,540.96,0.0183816
0.54118,541.18,0.0223824
0.5414,541.4,0.0190248
0.54161,541.61,0.0211092
0.54183,541.83,0.0175812
0.54205,542.05,0.0194484
0.54226,542.26,0.0223944
0.54248,542.48,0.0238404
0.5427,542.7,0.02142
0.54292,542.92,0.0298824
0.54313,543.13,0.018174
0.54335,543.35,0.023076
0.54357,543.57,0.0174288
0.54379,543.79,0.0219984
0.544,544,0.019524
0.54422,544.22,0.02148
0.54444,544.44,0.0206364
0.54466,544.66,0.0197844
0.54487,544.87,0.0164628
0.54509,545.09,0.0205176
0.54531,545.31,0.0178404
0.54552,545.52,0.0209748
0.54574,545.74,0.0181596
0.54596,545.96,0.021108
0.54618,546.18,0.0191928
0.54639,546.39,0.0164676
0.54661,546.61,0.016566
0.54683,546.83,0.0186384
0.54705,547.05,0.0180528
0.54726,547.26,0.016452
0.54748,547.48,0.0141516
0.5477,547.7,0.0151992
0.54792,547.92,0.0158484
0.54813,548.13,0.013668
0.54835,548.35,0.0150168
0.54857,548.57,0.0175512
0.54878,548.78,0.0144696
0.549,549,0.0161796
0.54922,549.22,0.013098
0.54944,549.44,0.014124
0.54965,549.65,0.0155712
0.54987,549.87,0.0137556
0.55009,550.09,0.0160032
0.55031,550.31,0.0149424
0.55052,550.52,0.0130248
0.55074,550.74,0.0130956
0.55096,550.96,0.0128328
0.55118,551.18,0.0134772
0.55139,551.39,0.0121608
0.55161,551.61,0.0123864
0.55183,551.83,0.0118632
0.55205,552.05,0.0126732
0.55226,552.26,0.01098912
0.55248,552.48,0.0143388
0.5527,552.7,0.012198
0.55291,552.91,0.0133944
0.55313,553.13,0.0128892
0.55335,553.35,0.01155168
0.55357,553.57,0.01153164
0.55378,553.78,0.0122772
0.554,554,0.01138236
0.55422,554.22,0.013806
0.55444,554.44,0.01113612
0.55465,554.65,0.0138912
0.55487,554.87,0.01129788
0.55509,555.09,0.01183176
0.55531,555.31,0.01185888
0.55552,555.52,0.0120888
0.55574,555.74,0.01121544
0.55596,555.96,0.0130332
0.55617,556.17,0.01107
0.55639,556.39,0.0124344
0.55661,556.61,0.01158072
0.55683,556.83,0.01024044
0.55704,557.04,0.01080288
0.55726,557.26,0.00973368
0.55748,557.48,0.01150068
0.5577,557.7,0.01011696
0.55791,557.91,0.01044132
0.55813,558.13,0.0123228
0.55835,558.35,0.00913836
0.55857,558.57,0.01066596
0.55878,558.78,0.00810336
0.559,559,0.0121128
0.55922,559.22,0.00967416
0.55943,559.43,0.01089228
0.55965,559.65,0.00995076
0.55987,559.87,0.01018344
0.56009,560.09,0.00978588
0.5603,560.3,0.00917628
0.56052,560.52,0.00980724
0.56074,560.74,0.0122292
0.56096,560.96,0.008007
0.56117,561.17,0.01044456
0.56139,561.39,0.00818352
0.56161,561.61,0.0099468
0.56183,561.83,0.00869076
0.56204,562.04,0.00900192
0.56226,562.26,0.00946596
0.56248,562.48,0.00990036
0.56269,562.69,0.00805884
0.56291,562.91,0.00874884
0.56313,563.13,0.00677892
0.56335,563.35,0.01029768
0.56356,563.56,0.00863688
0.56378,563.78,0.00964704
0.564,564,0.00872244
0.56422,564.22,0.0103206
0.56443,564.43,0.00840048
0.56465,564.65,0.00739884
0.56487,564.87,0.00802944
0.56509,565.09,0.00806808
0.5653,565.3,0.00780504
0.56552,565.52,0.00791676
0.56574,565.74,0.00851724
0.56595,565.95,0.0097806
0.56617,566.17,0.0063846
0.56639,566.39,0.00811668
0.56661,566.61,0.00700032
0.56682,566.82,0.00952116
0.56704,567.04,0.00705024
0.56726,567.26,0.00862392
0.56748,567.48,0.00750552
0.56769,567.69,0.00762192
0.56791,567.91,0.00709884
0.56813,568.13,0.00708012
0.56835,568.35,0.00800376
0.56856,568.56,0.00801372
0.56878,568.78,0.00800988
0.569,569,0.00743964
0.56922,569.22,0.00676044
0.56943,569.43,0.0080688
0.56965,569.65,0.00755436
0.56987,569.87,0.00760692
0.57008,570.08,0.00701508
0.5703,570.3,0.00784956
0.57052,570.52,0.00703308
0.57074,570.74,0.00757332
0.57095,570.95,0.00662976
0.57117,571.17,0.0074352
0.57139,571.39,0.00740304
0.57161,571.61,0.00657348
0.57182,571.82,0.00673272
0.57204,572.04,0.0065448
0.57226,572.26,0.00687588
0.57248,572.48,0.00790944
0.57269,572.69,0.00681924
0.57291,572.91,0.00907476
0.57313,573.13,0.00761844
0.57334,573.34,0.00706572
0.57356,573.56,0.0069858
0.57378,573.78,0.00750252
0.574,574,0.00542856
0.57421,574.21,0.00633552
0.57443,574.43,0.00586464
0.57465,574.65,0.00790344
0.57487,574.87,0.0060822
0.57508,575.08,0.00690624
0.5753,575.3,0.00690288
0.57552,575.52,0.00584304
0.57574,575.74,0.00572352
0.57595,575.95,0.00708696
0.57617,576.17,0.00643164
0.57639,576.39,0.007314
0.5766,576.6,0.00631584
0.57682,576.82,0.0073218
0.57704,577.04,0.0075816
0.57726,577.26,0.00656592
0.57747,577.47,0.00684804
0.57769,577.69,0.00718572
0.57791,577.91,0.00714204
0.57813,578.13,0.0075192
0.57834,578.34,0.00682488
0.57856,578.56,0.0077136
0.57878,578.78,0.0062178
0.579,579,0.00678804
0.57921,579.21,0.006048
0.57943,579.43,0.00588492
0.57965,579.65,0.00639876
0.57986,579.86,0.00685392
0.58008,580.08,0.00690972
0.5803,580.3,0.00573372
0.58052,580.52,0.0059256
0.58073,580.73,0.0059166
0.58095,580.95,0.00501144
0.58117,581.17,0.0063612
0.58139,581.39,0.00490524
0.5816,581.6,0.00501264
0.58182,581.82,0.00524712
0.58204,582.04,0.00512604
0.58226,582.26,0.00495588
0.58247,582.47,0.0062556
0.58269,582.69,0.00690432
0.58291,582.91,0.0076302
0.58312,583.12,0.00641244
0.58334,583.34,0.0061734
0.58356,583.56,0.00635964
0.58378,583.78,0.00608676
0.58399,583.99,0.00550188
0.58421,584.21,0.00592152
0.58443,584.43,0.00623724
0.58465,584.65,0.00615888
0.58486,584.86,0.0050508
0.58508,585.08,0.00733596
0.5853,585.3,0.00623676
0.58552,585.52,0.00705048
0.58573,585.73,0.00526308
0.58595,585.95,0.00746028
0.58617,586.17,0.00625632
0.58638,586.38,0.00544032
0.5866,586.6,0.00628896
0.58682,586.82,0.00623988
0.58704,587.04,0.00709152
0.58725,587.25,0.00512316
0.58747,587.47,0.0055704
0.58769,587.69,0.0068826
0.58791,587.91,0.0045978
0.58812,588.12,0.00536736
0.58834,588.34,0.00516732
0.58856,588.56,0.00609924
0.58878,588.78,0.00566064
0.58899,588.99,0.00486264
0.58921,589.21,0.00608868
0.58943,589.43,0.00626568
0.58965,589.65,0.00507036
0.58986,589.86,0.00694944
0.59008,590.08,0.00601572
0.5903,590.3,0.006459
0.59051,590.51,0.00592044
0.59073,590.73,0.00570396
0.59095,590.95,0.0056274
0.59117,591.17,0.00429432
0.59138,591.38,0.0058464
0.5916,591.6,0.00604512
0.59182,591.82,0.00577368
0.59204,592.04,0.00547344
0.59225,592.25,0.00517956
0.59247,592.47,0.0056712
0.59269,592.69,0.0044694
0.59291,592.91,0.00478908
0.59312,593.12,0.00536376
0.59334,593.34,0.00548964
0.59356,593.56,0.00505908
0.59377,593.77,0.00539808
0.59399,593.99,0.00570828
0.59421,594.21,0.0056772
0.59443,594.43,0.00470328
0.59464,594.64,0.00635976
0.59486,594.86,0.00521808
0.59508,595.08,0.00570096
0.5953,595.3,0.00496152
0.59551,595.51,0.0054504
0.59573,595.73,0.00605124
0.59595,595.95,0.00591012
0.59617,596.17,0.00603228
0.59638,596.38,0.00682512
0.5966,596.6,0.00667932
0.59682,596.82,0.006279
0.59703,597.03,0.00557652
0.59725,597.25,0.00627396
0.59747,597.47,0.00673704
0.59769,597.69,0.00677016
0.5979,597.9,0.00570588
0.59812,598.12,0.00590796
0.59834,598.34,0.00550116
0.59856,598.56,0.00628776
0.59877,598.77,0.00496596
0.59899,598.99,0.00607992
0.59921,599.21,0.0062184
0.59943,599.43,0.00621708
0.59964,599.64,0.00595572
0.59986,599.86,0.0055914
0.60008,600.08,0.00641172
0.60029,600.29,0.00578736
0.60051,600.51,0.00538164
0.60073,600.73,0.00597636
0.60095,600.95,0.00553512
0.60116,601.16,0.0073278
0.60138,601.38,0.00641052
0.6016,601.6,0.0069972
0.60182,601.82,0.00676212
0.60203,602.03,0.00669456
0.60225,602.25,0.00724032
0.60247,602.47,0.00690168
0.60269,602.69,0.00771564
0.6029,602.9,0.00742596
0.60312,603.12,0.00626508
0.60334,603.34,0.006498
0.60355,603.55,0.00593352
0.60377,603.77,0.00748788
0.60399,603.99,0.0056364
0.60421,604.21,0.00741636
0.60442,604.42,0.00628992
0.60464,604.64,0.00693468
0.60486,604.86,0.007404
0.60508,605.08,0.00719892
0.60529,605.29,0.00747516
0.60551,605.51,0.00750276
0.60573,605.73,0.00629508
0.60595,605.95,0.00802272
0.60616,606.16,0.00654072
0.60638,606.38,0.00780816
0.6066,606.6,0.00691716
0.60681,606.81,0.007005
0.60703,607.03,0.00656904
0.60725,607.25,0.00614628
0.60747,607.47,0.00661788
0.60768,607.68,0.00784152
0.6079,607.9,0.00659592
0.60812,608.12,0.00737832
0.60834,608.34,0.00738252
0.60855,608.55,0.00705252
0.60877,608.77,0.00621804
0.60899,608.99,0.00702864
0.60921,609.21,0.00791484
0.60942,609.42,0.0066114
0.60964,609.64,0.00629856
0.60986,609.86,0.00669612
0.61008,610.08,0.00677772
0.61029,610.29,0.0065682
0.61051,610.51,0.00676224
0.61073,610.73,0.00668172
0.61094,610.94,0.00680016
0.61116,611.16,0.00506136
0.61138,611.38,0.00647592
0.6116,611.6,0.00623472
0.61181,611.81,0.00615756
0.61203,612.03,0.0064056
0.61225,612.25,0.00675876
0.61247,612.47,0.00595908
0.61268,612.68,0.00554244
0.6129,612.9,0.00560652
0.61312,613.12,0.00627684
0.61334,613.34,0.00617184
0.61355,613.55,0.00583608
0.61377,613.77,0.0064602
0.61399,613.99,0.00613092
0.6142,614.2,0.00618516
0.61442,614.42,0.00671556
0.61464,614.64,0.00702348
0.61486,614.86,0.00709356
0.61507,615.07,0.0053688
0.61529,615.29,0.00539904
0.61551,615.51,0.00716976
0.61573,615.73,0.00495252
0.61594,615.94,0.0061722
0.61616,616.16,0.00692304
0.61638,616.38,0.00677064
0.6166,616.6,0.00640536
0.61681,616.81,0.00576072
0.61703,617.03,0.00618192
0.61725,617.25,0.00620208
0.61746,617.46,0.00612768
0.61768,617.68,0.0064746
0.6179,617.9,0.0050556
0.61812,618.12,0.00500604
0.61833,618.33,0.00545388
0.61855,618.55,0.00635304
0.61877,618.77,0.00523536
0.61899,618.99,0.00516228
0.6192,619.2,0.00517452
0.61942,619.42,0.00522492
0.61964,619.64,0.00494208
0.61986,619.86,0.00563928
0.62007,620.07,0.00584592
0.62029,620.29,0.00524124
0.62051,620.51,0.00471156
0.62072,620.72,0.00685404
0.62094,620.94,0.00572772
0.62116,621.16,0.00541404
0.62138,621.38,0.00522852
0.62159,621.59,0.00674544
0.62181,621.81,0.00536748
0.62203,622.03,0.00533172
0.62225,622.25,0.006246
0.62246,622.46,0.00696384
0.62268,622.68,0.00615096
0.6229,622.9,0.00614316
0.62312,623.12,0.00649512
0.62333,623.33,0.00514464
0.62355,623.55,0.00452712
0.62377,623.77,0.00558396
0.62398,623.98,0.00566808
0.6242,624.2,0.00591312
0.62442,624.42,0.00499536
0.62464,624.64,0.00662388
0.62485,624.85,0.00571284
0.62507,625.07,0.00543276
0.62529,625.29,0.00543852
0.62551,625.51,0.00576264
0.62572,625.72,0.00553428
0.62594,625.94,0.00505584
0.62616,626.16,0.00502812
0.62638,626.38,0.00611748
0.62659,626.59,0.00483996
0.62681,626.81,0.0057822
0.62703,627.03,0.0046896
0.62724,627.24,0.00542796
0.62746,627.46,0.00451428
0.62768,627.68,0.0052374
0.6279,627.9,0.00455976
0.62811,628.11,0.00529908
0.62833,628.33,0.00553452
0.62855,628.55,0.00745716
0.62877,628.77,0.00632244
0.62898,628.98,0.00458976
0.6292,629.2,0.00552
0.62942,629.42,0.00594888
0.62964,629.64,0.00515568
0.62985,629.85,0.00569292
0.63007,630.07,0.00470508
0.63029,630.29,0.0058656
0.63051,630.51,0.00504276
0.63072,630.72,0.00592944
0.63094,630.94,0.00586524
0.63116,631.16,0.00501012
0.63137,631.37,0.00488352
0.63159,631.59,0.00566004
0.63181,631.81,0.00576924
0.63203,632.03,0.00522276
0.63224,632.24,0.00424728
0.63246,632.46,0.00569928
0.63268,632.68,0.00533892
0.6329,632.9,0.00455928
0.63311,633.11,0.00520416
0.63333,633.33,0.00641268
0.63355,633.55,0.0059166
0.63377,633.77,0.00576756
0.63398,633.98,0.00454872
0.6342,634.2,0.00556068
0.63442,634.42,0.00446436
0.63463,634.63,0.00472368
0.63485,634.85,0.00508344
0.63507,635.07,0.00592812
0.63529,635.29,0.00513684
0.6355,635.5,0.00516228
0.63572,635.72,0.0050328
0.63594,635.94,0.0044532
0.63616,636.16,0.00381228
0.63637,636.37,0.00484512
0.63659,636.59,0.0046338
0.63681,636.81,0.00451572
0.63703,637.03,0.00388524
0.63724,637.24,0.00426312
0.63746,637.46,0.0047754
0.63768,637.68,0.00400032
0.63789,637.89,0.00366732
0.63811,638.11,0.004482
0.63833,638.33,0.00330192
0.63855,638.55,0.00407028
0.63876,638.76,0.00315624
0.63898,638.98,0.00366276
0.6392,639.2,0.0035718
0.63942,639.42,0.00370296
0.63963,639.63,0.0045492
0.63985,639.85,0.00358068
0.64007,640.07,0.0032844
0.64029,640.29,0.00360648
0.6405,640.5,0.00390516
0.64072,640.72,0.00381252
0.64094,640.94,0.00303264
0.64115,641.15,0.00412272
0.64137,641.37,0.00470592
0.64159,641.59,0.0045696
0.64181,641.81,0.00376572
0.64202,642.02,0.0046458
0.64224,642.24,0.0043608
0.64246,642.46,0.00361224
0.64268,642.68,0.0040548
0.64289,642.89,0.00507036
0.64311,643.11,0.00437628
0.64333,643.33,0.00363204
0.64355,643.55,0.00431532
0.64376,643.76,0.00471024
0.64398,643.98,0.00455976
0.6442,644.2,0.00430188
0.64441,644.41,0.00472392
0.64463,644.63,0.00467748
0.64485,644.85,0.00404112
0.64507,645.07,0.00382752
0.64528,645.28,0.00440832
0.6455,645.5,0.0043116
0.64572,645.72,0.00431952
0.64594,645.94,0.00435144
0.64615,646.15,0.00498756
0.64637,646.37,0.00431232
0.64659,646.59,0.00347016
0.64681,646.81,0.00377316
0.64702,647.02,0.00428496
0.64724,647.24,0.0042588
0.64746,647.46,0.00474996
0.64767,647.67,0.00471024
0.64789,647.89,0.00459276
0.64811,648.11,0.0033414
0.64833,648.33,0.00396636
0.64854,648.54,0.00479184
0.64876,648.76,0.0040944
0.64898,648.98,0.00391428
0.6492,649.2,0.00396984
0.64941,649.41,0.00508116
0.64963,649.63,0.00461436
0.64985,649.85,0.00526296
0.65007,650.07,0.00529836
0.65028,650.28,0.00516648
0.6505,650.5,0.00501708
0.65072,650.72,0.00518976
0.65094,650.94,0.00578424
0.65115,651.15,0.00495204
0.65137,651.37,0.00482484
0.65159,651.59,0.00626424
0.6518,651.8,0.00467736
0.65202,652.02,0.00550596
0.65224,652.24,0.00632004
0.65246,652.46,0.00763836
0.65267,652.67,0.00752052
0.65289,652.89,0.00481008
0.65311,653.11,0.00576492
0.65333,653.33,0.00659244
0.65354,653.54,0.00664776
0.65376,653.76,0.00638436
0.65398,653.98,0.0061722
0.6542,654.2,0.00749376
0.65441,654.41,0.0062586
0.65463,654.63,0.00619272
0.65485,654.85,0.00682044
0.65506,655.06,0.0065694
0.65528,655.28,0.0067134
0.6555,655.5,0.00728088
0.65572,655.72,0.00713664
0.65593,655.93,0.00795888
0.65615,656.15,0.0072864
0.65637,656.37,0.00884496
0.65659,656.59,0.00874296
0.6568,656.8,0.00761916
0.65702,657.02,0.00738744
0.65724,657.24,0.00722748
0.65746,657.46,0.00798372
0.65767,657.67,0.00874464
0.65789,657.89,0.0090876
0.65811,658.11,0.0104898
0.65832,658.32,0.00895872
0.65854,658.54,0.00923592
0.65876,658.76,0.00930456
0.65898,658.98,0.00854244
0.65919,659.19,0.00844164
0.65941,659.41,0.00856704
0.65963,659.63,0.00996096
0.65985,659.85,0.01085724
0.66006,660.06,0.00983088
0.66028,660.28,0.01060224
0.6605,660.5,0.0087642
0.66072,660.72,0.00903108
0.66093,660.93,0.008475
0.66115,661.15,0.00815052
0.66137,661.37,0.00874944
0.66158,661.58,0.00726828
0.6618,661.8,0.00915048
0.66202,662.02,0.00820056
0.66224,662.24,0.007719
0.66245,662.45,0.00978552
0.66267,662.67,0.00659304
0.66289,662.89,0.00737136
0.66311,663.11,0.0063702
0.66332,663.32,0.00757608
0.66354,663.54,0.00830628
0.66376,663.76,0.00742656
0.66398,663.98,0.00875568
0.66419,664.19,0.00756024
0.66441,664.41,0.00475512
0.66463,664.63,0.006615
0.66484,664.84,0.0062658
0.66506,665.06,0.00881328
0.66528,665.28,0.00716268
0.6655,665.5,0.00907548
0.66571,665.71,0.00797436
0.66593,665.93,0.0072144
0.66615,666.15,0.00708888
0.66637,666.37,0.00846252
0.66658,666.58,0.00761916
0.6668,666.8,0.00809916
0.66702,667.02,0.00795576
0.66724,667.24,0.00777072
0.66745,667.45,0.00623412
0.66767,667.67,0.00582264
0.66789,667.89,0.0063396
0.6681,668.1,0.00606072
0.66832,668.32,0.00601368
0.66854,668.54,0.00597468
0.66876,668.76,0.00558996
0.66897,668.97,0.00495852
0.66919,669.19,0.00536544
0.66941,669.41,0.0056328
0.66963,669.63,0.0048156
0.66984,669.84,0.00544164
0.67006,670.06,0.0056064
0.67028,670.28,0.00419052
0.6705,670.5,0.00466044
0.67071,670.71,0.00432936
0.67093,670.93,0.0049728
0.67115,671.15,0.00449304
0.67137,671.37,0.00451644
0.67158,671.58,0.00433272
0.6718,671.8,0.0038484
0.67202,672.02,0.00362472
0.67223,672.23,0.00413784
0.67245,672.45,0.00426756
0.67267,672.67,0.00400596
0.67289,672.89,0.00374604
0.6731,673.1,0.00357276
0.67332,673.32,0.00392376
0.67354,673.54,0.0031548
0.67376,673.76,0.00290976
0.67397,673.97,0.00318384
0.67419,674.19,0.00304992
0.67441,674.41,0.00312468
0.67463,674.63,0.00292884
0.67484,674.84,0.00303864
0.67506,675.06,0.00335052
0.67528,675.28,0.0025182
0.67549,675.49,0.00339612
0.67571,675.71,0.002922
0.67593,675.93,0.00279564
0.67615,676.15,0.00312936
0.67636,676.36,0.00300768
0.67658,676.58,0.00295044
0.6768,676.8,0.00278592
0.67702,677.02,0.00269136
0.67723,677.23,0.00277344
0.67745,677.45,0.00235464
0.67767,677.67,0.00280032
0.67789,677.89,0.00281124
0.6781,678.1,0.00282216
0.67832,678.32,0.00236592
0.67854,678.54,0.00264924
0.67875,678.75,0.00240024
0.67897,678.97,0.00263232
0.67919,679.19,0.0020664
0.67941,679.41,0.00282852
0.67962,679.62,0.0022668
0.67984,679.84,0.00265752
0.68006,680.06,0.00233844
0.68028,680.28,0.00217524
0.68049,680.49,0.00221532
0.68071,680.71,0.0021366
0.68093,680.93,0.00232284
0.68115,681.15,0.002142
0.68136,681.36,0.00198996
0.68158,681.58,0.00284916
0.6818,681.8,0.0019236
0.68201,682.01,0.00238116
0.68223,682.23,0.00197784
0.68245,682.45,0.0026094
0.68267,682.67,0.00235968
0.68288,682.88,0.00193416
0.6831,683.1,0.00191244
0.68332,683.32,0.00207372
0.68354,683.54,0.0016074
0.68375,683.75,0.0017358
0.68397,683.97,0.00186144
0.68419,684.19,0.0022212
0.68441,684.41,0.00192348
0.68462,684.62,0.00207852
0.68484,684.84,0.00180828
0.68506,685.06,0.00195396
0.68527,685.27,0.00154428
0.68549,685.49,0.00198768
0.68571,685.71,0.00175932
0.68593,685.93,0.00211632
0.68614,686.14,0.00153372
0.68636,686.36,0.00221064
0.68658,686.58,0.0021474
0.6868,686.8,0.00171252
0.68701,687.01,0.00175704
0.68723,687.23,0.00196548
0.68745,687.45,0.001848
0.68767,687.67,0.00178284
0.68788,687.88,0.00167664
0.6881,688.1,0.00211488
0.68832,688.32,0.00203892
0.68853,688.53,0.00229152
0.68875,688.75,0.00184128
0.68897,688.97,0.00204648
0.68919,689.19,0.001818
0.6894,689.4,0.0019752
0.68962,689.62,0.00174516
0.68984,689.84,0.0018054
0.69006,690.06,0.00147084
0.69027,690.27,0.00186912
0.69049,690.49,0.00171228
0.69071,690.71,0.00176328
0.69093,690.93,0.00160548
0.69114,691.14,0.00190824
0.69136,691.36,0.00166764
0.69158,691.58,0.00180228
0.6918,691.8,0.00145272
0.69201,692.01,0.00168192
0.69223,692.23,0.00171612
0.69245,692.45,0.00207552
0.69266,692.66,0.00159
0.69288,692.88,0.00182856
0.6931,693.1,0.00156624
0.69332,693.32,0.00174636
0.69353,693.53,0.001674
0.69375,693.75,0.00162804
0.69397,693.97,0.001623
0.69419,694.19,0.00197628
0.6944,694.4,0.0017586
0.69462,694.62,0.0017598
0.69484,694.84,0.00132576
0.69506,695.06,0.00158256
0.69527,695.27,0.00146904
0.69549,695.49,0.00164784
0.69571,695.71,0.0012918
0.69592,695.92,0.00166236
0.69614,696.14,0.00161568
0.69636,696.36,0.00155856
0.69658,696.58,0.0012768
0.69679,696.79,0.00171432
0.69701,697.01,0.001485
0.69723,697.23,0.0015582
0.69745,697.45,0.0013224
0.69766,697.66,0.0017988
0.69788,697.88,0.00166632
0.6981,698.1,0.00158784
0.69832,698.32,0.00135984
0.69853,698.53,0.00162912
0.69875,698.75,0.00167112
0.69897,698.97,0.00150144
0.69918,699.18,0.00158544
0.6994,699.4,0.0019896
0.69962,699.62,0.0016476
0.69984,699.84,0.00170172
0.70005,700.05,0.00138948
0.70027,700.27,0.0020478
0.70049,700.49,0.00149448
0.70071,700.71,0.0015768
0.70092,700.92,0.00162804
0.70114,701.14,0.00194592
0.70136,701.36,0.00145476
0.70158,701.58,0.00147132
0.70179,701.79,0.00192432
0.70201,702.01,0.00181356
0.70223,702.23,0.00160872
0.70244,702.44,0.00147096
0.70266,702.66,0.00146256
0.70288,702.88,0.0017256
0.7031,703.1,0.001148004
0.70331,703.31,0.00166044
0.70353,703.53,0.00150228
0.70375,703.75,0.00162324
0.70397,703.97,0.00167832
0.70418,704.18,0.00161112
0.7044,704.4,0.0014718
0.70462,704.62,0.00145008
0.70484,704.84,0.00154188
0.70505,705.05,0.00160044
0.70527,705.27,0.0012312
0.70549,705.49,0.00164016
0.7057,705.7,0.00142044
0.70592,705.92,0.0013806
0.70614,706.14,0.00124932
0.70636,706.36,0.00140364
0.70657,706.57,0.0016914
0.70679,706.79,0.00152688
0.70701,707.01,0.00160908
0.70723,707.23,0.00161484
0.70744,707.44,0.00148068
0.70766,707.66,0.00162432
